,id,Category,Name,Difficulty,Link,Solution
33,33,Binary Search,Median of Two Sorted Arrays,Hard,https://neetcode.io/problems/median-of-two-sorted-arrays,https://www.youtube.com/watch?v=q6IEA26hvXc
34,34,Linked Lists,Reverse Linked List,Easy,https://neetcode.io/problems/reverse-a-linked-list,https://www.youtube.com/watch?v=G0_I-ZF0S38
35,35,Linked Lists,Merge Two Sorted Lists,Easy,https://neetcode.io/problems/merge-two-sorted-linked-lists,https://www.youtube.com/watch?v=XIdigk956u0
36,36,Linked Lists,Linked List Cycle,Easy,https://neetcode.io/problems/linked-list-cycle-detection,https://www.youtube.com/watch?v=gBTe7lFR3vc
37,37,Linked Lists,Reorder List,Medium,https://neetcode.io/problems/reorder-linked-list,https://www.youtube.com/watch?v=S5bfdUTrKLM
38,38,Linked Lists,Remove Nth Node From End of List ,Medium,https://neetcode.io/problems/remove-node-from-end-of-linked-list,https://www.youtube.com/watch?v=XVuQxVej6y8
39,39,Linked Lists,Copy List With Random Pointer,Medium,https://neetcode.io/problems/copy-linked-list-with-random-pointer,https://www.youtube.com/watch?v=5Y2EiZST97Y
40,40,Linked Lists,Add Two Numbers,Medium,https://neetcode.io/problems/add-two-numbers,https://www.youtube.com/watch?v=wgFPrzTjm7s
41,41,Linked Lists,Find The Duplicate Number ,Medium,https://neetcode.io/problems/find-duplicate-integer,https://www.youtube.com/watch?v=wjYnzkAhcNk
42,42,Linked Lists,LRU Cache,Medium,https://neetcode.io/problems/lru-cache,https://www.youtube.com/watch?v=7ABFKPK2hD4
43,43,Linked Lists,Merge K Sorted Lists,Hard,https://neetcode.io/problems/merge-k-sorted-linked-lists,https://www.youtube.com/watch?v=q5a5OiGbT6Q
44,44,Linked Lists,Reverse Nodes In K Group,Hard,https://neetcode.io/problems/reverse-nodes-in-k-group,https://www.youtube.com/watch?v=1UOPsfP85V4
45,45,Trees,Invert Binary Tree,Easy,https://neetcode.io/problems/invert-a-binary-tree,https://www.youtube.com/watch?v=OnSn2XEQ4MY
46,46,Trees,Maximum Depth of Binary Tree,Easy,https://neetcode.io/problems/invert-a-binary-tree,https://www.youtube.com/watch?v=hTM3phVI6YQ
47,47,Trees,Diameter of Binary Tree,Easy,https://neetcode.io/problems/binary-tree-diameter,https://www.youtube.com/watch?v=K81C31ytOZE
48,48,Trees,Balanced Binary Tree,Easy,https://neetcode.io/problems/balanced-binary-tree,https://www.youtube.com/watch?v=QfJsau0ItOY
49,49,Trees,Same Tree,Easy,https://neetcode.io/problems/same-binary-tree,https://www.youtube.com/watch?v=vRbbcKXCxOw
50,50,Trees,Subtree of Another Tree,Easy,https://neetcode.io/problems/subtree-of-a-binary-tree,https://www.youtube.com/watch?v=E36O5SWp-LE
51,51,Trees,Lowest Common Ancestor of a Binary Search Tree,Medium,https://neetcode.io/problems/lowest-common-ancestor-in-binary-search-tree,https://www.youtube.com/watch?v=gs2LMfuOR9k
52,52,Trees,Binary Tree Level Order Traversal,Medium,https://neetcode.io/problems/level-order-traversal-of-binary-tree,https://www.youtube.com/watch?v=6ZnyEApgFYg
53,53,Trees,Binary Tree Right Side View,Medium,https://neetcode.io/problems/binary-tree-right-side-view,https://www.youtube.com/watch?v=d4zLyf32e3I
54,54,Trees,Count Good Nodes In Binary Tree,Medium,https://neetcode.io/problems/count-good-nodes-in-binary-tree,https://www.youtube.com/watch?v=7cp5imvDzl4
55,55,Trees,Validate Binary Search Tree,Medium,https://neetcode.io/problems/valid-binary-search-tree,https://www.youtube.com/watch?v=s6ATEkipzow
56,56,Trees,Kth Smallest Element In a Bst,Medium,https://neetcode.io/problems/kth-smallest-integer-in-bst,https://www.youtube.com/watch?v=5LUXSvjmGCw
57,57,Trees,Construct Binary Tree From Preorder And Inorder Traversal ,Medium,https://neetcode.io/problems/binary-tree-from-preorder-and-inorder-traversal,https://www.youtube.com/watch?v=ihj4IQGZ2zc
58,58,Trees,Binary Tree Maximum Path Sum,Hard,https://neetcode.io/problems/binary-tree-maximum-path-sum,https://www.youtube.com/watch?v=Hr5cWUld4vU
59,59,Trees,Serialize And Deserialize Binary Tree,Hard,https://neetcode.io/problems/serialize-and-deserialize-binary-tree,https://www.youtube.com/watch?v=u4JAi2JJhI8
60,60,Heap / Priority queue,Kth Largest Element In a Stream,Easy,https://neetcode.io/problems/kth-largest-integer-in-a-stream,https://www.youtube.com/watch?v=hOjcdrqMoQ8
61,61,Heap / Priority queue,Last Stone Weight,Easy,https://neetcode.io/problems/last-stone-weight,https://www.youtube.com/watch?v=B-QCq79-Vfw
62,62,Heap / Priority queue,K Closest Points to Origin,Medium,https://neetcode.io/problems/k-closest-points-to-origin,https://www.youtube.com/watch?v=rI2EBUEMfTk
63,63,Heap / Priority queue,Kth Largest Element In An Array,Medium,https://neetcode.io/problems/kth-largest-element-in-an-array,https://www.youtube.com/watch?v=XEmy13g1Qxc
64,64,Heap / Priority queue,Task Scheduler,Medium,https://neetcode.io/problems/task-scheduling,https://www.youtube.com/watch?v=s8p8ukTyA2I
65,65,Heap / Priority queue,Design Twitter,Medium,https://neetcode.io/problems/design-twitter-feed,https://www.youtube.com/watch?v=pNichitDD2E
66,66,Heap / Priority queue,Find Median From Data Stream,Hard,https://neetcode.io/problems/find-median-in-a-data-stream,https://www.youtube.com/watch?v=itmhHWaHupI
67,67,Backtracking,Subsets,Medium,https://neetcode.io/problems/subsets,https://www.youtube.com/watch?v=REOH22Xwdkk
68,68,Backtracking,Combination Sum,Medium,https://neetcode.io/problems/combination-target-sum,https://www.youtube.com/watch?v=GBKI9VSKdGg
69,69,Backtracking,Permutations,Medium,https://neetcode.io/problems/permutations,https://www.youtube.com/watch?v=FZe0UqISmUw
70,70,Backtracking,Subsets II,Medium,https://neetcode.io/problems/subsets-ii,https://www.youtube.com/watch?v=Vn2v6ajA7U0
71,71,Backtracking,Combination Sum II,Medium,https://neetcode.io/problems/combination-target-sum-ii,https://www.youtube.com/watch?v=FOyRpNUSFeA
72,72,Backtracking,Word Search,Medium,https://neetcode.io/problems/search-for-word,https://www.youtube.com/watch?v=pfiQ_PS1g8E
73,73,Backtracking,Palindrome Partitioning,Medium,https://neetcode.io/problems/palindrome-partitioning,https://www.youtube.com/watch?v=3jvWodd7ht0
74,74,Backtracking,Letter Combinations of a Phone Number,Medium,https://neetcode.io/problems/combinations-of-a-phone-number,https://www.youtube.com/watch?v=0snEunUacZY
75,75,Backtracking,N Queens,Hard,https://neetcode.io/problems/n-queens,https://www.youtube.com/watch?v=Ph95IHmRp5M
76,76,Tries,Implement Trie Prefix Tree,Medium,https://neetcode.io/problems/implement-prefix-tree,https://www.youtube.com/watch?v=oobqoCJlHA0
